text,label
deactivate the speaker,10
deactivate the electric kettle,13
switch off the humidifier,12
set a timer for the heater,2
connect the robot vacuum,11
deactivate the fan,0
switch off the oven,5
turn off the microwave,9
adjust the heater,2
turn on the speaker,10
set the washing machine,6
turn on the electric kettle,13
configure the coffee maker,8
adjust the microwave,9
turn off the television,4
switch on the speaker,10
turn on the coffee maker,8
adjust the electric kettle,13
connect the washing machine,6
adjust the television,4
map the refrigerator,7
set a timer for the heater,2
adjust the electric kettle,13
turn on the robot vacuum,11
change the television,4
activate the oven,5
adjust the humidifier,12
deactivate the heater,2
turn off the pump,14
change the robot vacuum,11
switch off the electric kettle,13
switch on the electric kettle,13
change the television,4
link the speaker,10
turn off the pump,14
switch on the refrigerator,7
turn on the oven,5
change the refrigerator,7
connect the speaker,10
change the washing machine,6
change the washing machine,6
switch off the washing machine,6
switch on the washing machine,6
schedule the electric kettle,13
turn off the oven,5
map the fan,0
adjust the coffee maker,8
switch off the heater,2
adjust the heater,2
set the humidifier,12
link the oven,5
assign the robot vacuum,11
change the pump,14
turn on the robot vacuum,11
connect the air conditioner,3
configure the air conditioner,3
connect the microwave,9
set a timer for the heater,2
turn off the speaker,10
activate the electric kettle,13
assign the washing machine,6
deactivate the humidifier,12
activate the robot vacuum,11
map the oven,5
deactivate the washing machine,6
link the fan,0
configure the heater,2
activate the oven,5
schedule the fan,0
schedule the humidifier,12
deactivate the pump,14
map the television,4
adjust the microwave,9
schedule the refrigerator,7
set the heater,2
map the washing machine,6
switch on the heater,2
link the pump,14
switch on the television,4
deactivate the heater,2
switch off the electric kettle,13
configure the electric kettle,13
turn off the heater,2
change the light,1
configure the microwave,9
assign the humidifier,12
map the microwave,9
switch on the robot vacuum,11
schedule the heater,2
set the fan,0
map the light,1
schedule the humidifier,12
connect the fan,0
switch off the television,4
connect the humidifier,12
switch off the electric kettle,13
switch off the electric kettle,13
adjust the refrigerator,7
map the coffee maker,8
map the washing machine,6
schedule the heater,2
turn off the washing machine,6
schedule the refrigerator,7
change the microwave,9
set the light,1
turn off the electric kettle,13
turn off the pump,14
link the oven,5
connect the television,4
turn off the light,1
map the heater,2
assign the air conditioner,3
schedule the robot vacuum,11
connect the refrigerator,7
set the speaker,10
adjust the speaker,10
activate the speaker,10
set the heater,2
switch off the oven,5
adjust the speaker,10
turn on the air conditioner,3
turn off the robot vacuum,11
set the washing machine,6
set a timer for the coffee maker,8
activate the electric kettle,13
adjust the fan,0
adjust the coffee maker,8
turn on the electric kettle,13
turn on the refrigerator,7
set the speaker,10
turn on the fan,0
set a timer for the speaker,10
deactivate the speaker,10
set a timer for the washing machine,6
deactivate the electric kettle,13
connect the electric kettle,13
switch off the microwave,9
assign the robot vacuum,11
schedule the oven,5
set the electric kettle,13
schedule the oven,5
assign the fan,0
assign the fan,0
turn off the washing machine,6
connect the light,1
turn on the humidifier,12
turn off the refrigerator,7
activate the electric kettle,13
adjust the electric kettle,13
deactivate the robot vacuum,11
adjust the washing machine,6
change the humidifier,12
assign the microwave,9
assign the robot vacuum,11
deactivate the speaker,10
link the electric kettle,13
turn off the electric kettle,13
configure the speaker,10
connect the refrigerator,7
link the coffee maker,8
deactivate the oven,5
set the coffee maker,8
map the coffee maker,8
map the oven,5
set a timer for the electric kettle,13
switch on the fan,0
adjust the humidifier,12
deactivate the light,1
assign the television,4
map the robot vacuum,11
configure the oven,5
switch on the electric kettle,13
set a timer for the oven,5
assign the coffee maker,8
activate the pump,14
connect the fan,0
switch off the washing machine,6
turn on the microwave,9
configure the pump,14
turn on the oven,5
assign the fan,0
link the coffee maker,8
map the air conditioner,3
switch on the robot vacuum,11
adjust the oven,5
activate the light,1
schedule the speaker,10
link the electric kettle,13
switch on the fan,0
map the speaker,10
switch on the air conditioner,3
assign the fan,0
change the television,4
connect the robot vacuum,11
schedule the coffee maker,8
set the robot vacuum,11
turn off the humidifier,12
change the robot vacuum,11
set the pump,14
activate the refrigerator,7
switch off the air conditioner,3
set the fan,0
switch off the robot vacuum,11
activate the coffee maker,8
link the washing machine,6
set the humidifier,12
link the television,4
switch on the refrigerator,7
turn off the refrigerator,7
turn off the washing machine,6
link the electric kettle,13
connect the microwave,9
map the humidifier,12
connect the microwave,9
switch on the washing machine,6
switch on the oven,5
adjust the pump,14
turn on the refrigerator,7
link the robot vacuum,11
turn on the television,4
configure the fan,0
set a timer for the heater,2
change the humidifier,12
adjust the coffee maker,8
schedule the humidifier,12
set a timer for the electric kettle,13
map the oven,5
turn on the heater,2
connect the air conditioner,3
activate the electric kettle,13
change the light,1
assign the microwave,9
deactivate the refrigerator,7
set the television,4
activate the washing machine,6
switch on the oven,5
switch on the heater,2
switch off the fan,0
activate the heater,2
deactivate the light,1
switch on the air conditioner,3
set the oven,5
schedule the pump,14
turn on the fan,0
activate the humidifier,12
schedule the microwave,9
connect the washing machine,6
change the oven,5
turn on the electric kettle,13
adjust the robot vacuum,11
assign the speaker,10
map the speaker,10
change the pump,14
turn off the oven,5
assign the microwave,9
configure the speaker,10
turn on the heater,2
set the microwave,9
map the fan,0
schedule the pump,14
deactivate the humidifier,12
switch off the robot vacuum,11
activate the light,1
turn off the electric kettle,13
assign the light,1
activate the fan,0
set a timer for the humidifier,12
configure the heater,2
turn on the fan,0
map the refrigerator,7
set the robot vacuum,11
adjust the oven,5
assign the oven,5
change the fan,0
adjust the light,1
deactivate the air conditioner,3
adjust the heater,2
set the refrigerator,7
switch on the oven,5
configure the electric kettle,13
switch on the heater,2
activate the heater,2
deactivate the television,4
turn off the oven,5
deactivate the air conditioner,3
configure the electric kettle,13
switch on the oven,5
assign the coffee maker,8
switch off the speaker,10
switch on the humidifier,12
switch off the oven,5
switch on the air conditioner,3
switch on the humidifier,12
connect the speaker,10
turn off the humidifier,12
set a timer for the microwave,9
configure the air conditioner,3
activate the pump,14
map the television,4
deactivate the humidifier,12
configure the washing machine,6
turn on the television,4
map the heater,2
configure the washing machine,6
set a timer for the light,1
map the coffee maker,8
set the oven,5
adjust the light,1
adjust the humidifier,12
adjust the speaker,10
deactivate the coffee maker,8
schedule the fan,0
switch on the robot vacuum,11
schedule the light,1
deactivate the light,1
map the television,4
switch off the heater,2
change the television,4
turn off the heater,2
change the coffee maker,8
link the microwave,9
schedule the robot vacuum,11
map the robot vacuum,11
switch on the fan,0
schedule the humidifier,12
map the robot vacuum,11
assign the television,4
activate the electric kettle,13
switch off the pump,14
set a timer for the robot vacuum,11
map the coffee maker,8
map the air conditioner,3
assign the washing machine,6
change the oven,5
turn off the speaker,10
connect the pump,14
schedule the oven,5
activate the light,1
configure the pump,14
switch off the washing machine,6
turn on the humidifier,12
turn on the light,1
assign the air conditioner,3
set the electric kettle,13
assign the humidifier,12
activate the television,4
assign the heater,2
deactivate the electric kettle,13
connect the fan,0
switch off the microwave,9
assign the air conditioner,3
map the pump,14
set the television,4
adjust the electric kettle,13
set a timer for the washing machine,6
configure the robot vacuum,11
turn on the humidifier,12
schedule the speaker,10
activate the pump,14
switch off the pump,14
adjust the fan,0
schedule the robot vacuum,11
switch on the microwave,9
link the light,1
connect the heater,2
switch off the humidifier,12
configure the television,4
activate the fan,0
turn on the light,1
switch off the pump,14
assign the washing machine,6
switch on the refrigerator,7
deactivate the coffee maker,8
link the pump,14
activate the speaker,10
link the electric kettle,13
deactivate the washing machine,6
activate the coffee maker,8
adjust the refrigerator,7
configure the pump,14
set the refrigerator,7
deactivate the humidifier,12
set the robot vacuum,11
set a timer for the fan,0
turn on the humidifier,12
change the oven,5
set the television,4
deactivate the heater,2
map the speaker,10
adjust the oven,5
configure the speaker,10
configure the washing machine,6
assign the air conditioner,3
set the light,1
assign the pump,14
switch off the fan,0
set the coffee maker,8
map the pump,14
link the fan,0
change the oven,5
turn on the refrigerator,7
switch on the coffee maker,8
link the fan,0
switch on the oven,5
switch on the oven,5
turn on the speaker,10
turn off the electric kettle,13
turn on the television,4
deactivate the fan,0
map the air conditioner,3
deactivate the washing machine,6
connect the pump,14
change the electric kettle,13
connect the microwave,9
set a timer for the television,4
set the light,1
change the heater,2
activate the microwave,9
deactivate the air conditioner,3
link the television,4
change the humidifier,12
connect the fan,0
assign the electric kettle,13
switch on the washing machine,6
link the microwave,9
adjust the oven,5
change the electric kettle,13
set a timer for the coffee maker,8
configure the air conditioner,3
map the humidifier,12
schedule the air conditioner,3
activate the robot vacuum,11
activate the oven,5
connect the light,1
map the microwave,9
adjust the pump,14
switch on the air conditioner,3
set the speaker,10
set a timer for the electric kettle,13
map the pump,14
schedule the coffee maker,8
link the speaker,10
set the air conditioner,3
map the air conditioner,3
activate the washing machine,6
set a timer for the pump,14
map the light,1
deactivate the electric kettle,13
schedule the heater,2
activate the coffee maker,8
connect the electric kettle,13
activate the television,4
assign the television,4
turn off the robot vacuum,11
connect the heater,2
switch off the television,4
configure the speaker,10
adjust the robot vacuum,11
link the washing machine,6
switch off the air conditioner,3
link the refrigerator,7
connect the light,1
connect the washing machine,6
switch off the television,4
assign the washing machine,6
set the television,4
assign the light,1
set the television,4
turn on the electric kettle,13
turn on the washing machine,6
set a timer for the electric kettle,13
connect the oven,5
set the microwave,9
map the light,1
schedule the television,4
set a timer for the pump,14
schedule the coffee maker,8
turn off the television,4
set the speaker,10
set the television,4
set a timer for the electric kettle,13
map the refrigerator,7
switch off the heater,2
deactivate the television,4
link the fan,0
switch off the light,1
switch off the speaker,10
map the coffee maker,8
configure the washing machine,6
deactivate the air conditioner,3
change the coffee maker,8
assign the electric kettle,13
switch on the coffee maker,8
link the pump,14
activate the speaker,10
configure the oven,5
adjust the pump,14
connect the electric kettle,13
connect the television,4
assign the oven,5
change the speaker,10
switch off the speaker,10
turn on the humidifier,12
adjust the humidifier,12
connect the humidifier,12
map the light,1
set the robot vacuum,11
turn off the washing machine,6
turn on the coffee maker,8
switch on the pump,14
change the coffee maker,8
turn off the air conditioner,3
connect the electric kettle,13
configure the coffee maker,8
adjust the electric kettle,13
turn on the microwave,9
adjust the washing machine,6
connect the speaker,10
link the microwave,9
change the television,4
deactivate the humidifier,12
connect the television,4
set the electric kettle,13
set a timer for the speaker,10
map the pump,14
link the humidifier,12
adjust the refrigerator,7
deactivate the air conditioner,3
turn on the speaker,10
deactivate the refrigerator,7
set a timer for the coffee maker,8
set the refrigerator,7
map the robot vacuum,11
link the washing machine,6
set the pump,14
map the washing machine,6
switch off the humidifier,12
set a timer for the refrigerator,7
set the speaker,10
set the robot vacuum,11
adjust the coffee maker,8
change the refrigerator,7
configure the humidifier,12
switch on the speaker,10
schedule the oven,5
assign the washing machine,6
schedule the washing machine,6
change the microwave,9
connect the electric kettle,13
assign the pump,14
deactivate the heater,2
switch off the refrigerator,7
switch on the television,4
change the microwave,9
connect the heater,2
turn off the television,4
deactivate the coffee maker,8
turn off the fan,0
assign the robot vacuum,11
schedule the fan,0
configure the humidifier,12
schedule the speaker,10
assign the air conditioner,3
connect the television,4
switch off the coffee maker,8
turn on the microwave,9
turn on the speaker,10
turn off the robot vacuum,11
deactivate the television,4
set a timer for the refrigerator,7
deactivate the oven,5
configure the air conditioner,3
assign the coffee maker,8
configure the television,4
connect the television,4
map the microwave,9
assign the washing machine,6
map the speaker,10
connect the coffee maker,8
adjust the fan,0
connect the robot vacuum,11
switch on the humidifier,12
turn off the light,1
switch off the electric kettle,13
assign the humidifier,12
switch on the television,4
connect the humidifier,12
change the washing machine,6
connect the coffee maker,8
connect the air conditioner,3
deactivate the fan,0
activate the heater,2
configure the microwave,9
switch on the light,1
connect the air conditioner,3
map the electric kettle,13
turn on the oven,5
link the coffee maker,8
link the heater,2
activate the humidifier,12
change the fan,0
configure the television,4
set a timer for the air conditioner,3
change the robot vacuum,11
activate the washing machine,6
set the washing machine,6
set the washing machine,6
schedule the fan,0
deactivate the television,4
turn off the fan,0
link the heater,2
switch on the microwave,9
adjust the microwave,9
switch off the microwave,9
set the oven,5
set a timer for the speaker,10
map the microwave,9
map the humidifier,12
adjust the washing machine,6
activate the coffee maker,8
change the pump,14
schedule the coffee maker,8
set a timer for the light,1
switch on the coffee maker,8
switch off the coffee maker,8
set the pump,14
connect the air conditioner,3
configure the air conditioner,3
schedule the washing machine,6
assign the humidifier,12
deactivate the refrigerator,7
link the coffee maker,8
configure the refrigerator,7
link the air conditioner,3
deactivate the microwave,9
deactivate the oven,5
switch off the oven,5
map the robot vacuum,11
schedule the microwave,9
set a timer for the refrigerator,7
deactivate the humidifier,12
switch off the light,1
adjust the pump,14
switch on the microwave,9
activate the fan,0
adjust the robot vacuum,11
set a timer for the electric kettle,13
adjust the fan,0
configure the air conditioner,3
activate the washing machine,6
schedule the air conditioner,3
change the fan,0
set the humidifier,12
change the pump,14
assign the air conditioner,3
connect the washing machine,6
switch on the microwave,9
deactivate the television,4
switch on the speaker,10
deactivate the coffee maker,8
connect the humidifier,12
schedule the television,4
turn on the refrigerator,7
change the pump,14
schedule the pump,14
configure the fan,0
connect the refrigerator,7
schedule the humidifier,12
deactivate the washing machine,6
turn on the heater,2
change the television,4
schedule the robot vacuum,11
turn off the microwave,9
schedule the electric kettle,13
deactivate the air conditioner,3
adjust the oven,5
adjust the air conditioner,3
map the speaker,10
switch on the fan,0
set the refrigerator,7
turn on the oven,5
set a timer for the television,4
set the fan,0
change the microwave,9
schedule the microwave,9
switch on the oven,5
set a timer for the air conditioner,3
link the humidifier,12
link the oven,5
assign the fan,0
activate the air conditioner,3
change the air conditioner,3
deactivate the washing machine,6
change the electric kettle,13
connect the fan,0
assign the speaker,10
turn on the refrigerator,7
turn on the speaker,10
adjust the heater,2
turn on the electric kettle,13
activate the fan,0
map the microwave,9
switch on the washing machine,6
adjust the oven,5
assign the heater,2
configure the light,1
change the air conditioner,3
link the speaker,10
link the light,1
configure the coffee maker,8
change the fan,0
switch on the electric kettle,13
link the air conditioner,3
connect the heater,2
connect the speaker,10
map the coffee maker,8
configure the washing machine,6
assign the robot vacuum,11
configure the microwave,9
switch on the heater,2
activate the fan,0
assign the light,1
turn off the electric kettle,13
switch off the light,1
switch off the speaker,10
turn off the coffee maker,8
configure the refrigerator,7
adjust the fan,0
connect the microwave,9
connect the electric kettle,13
change the light,1
configure the light,1
change the refrigerator,7
schedule the electric kettle,13
configure the refrigerator,7
change the coffee maker,8
configure the fan,0
turn on the oven,5
activate the robot vacuum,11
link the humidifier,12
schedule the fan,0
assign the fan,0
set the pump,14
schedule the speaker,10
switch on the refrigerator,7
set a timer for the oven,5
deactivate the oven,5
change the microwave,9
switch on the coffee maker,8
set a timer for the washing machine,6
adjust the refrigerator,7
activate the electric kettle,13
set the fan,0
deactivate the light,1
adjust the electric kettle,13
switch off the speaker,10
configure the heater,2
adjust the microwave,9
set the refrigerator,7
map the pump,14
turn off the pump,14
map the pump,14
switch off the electric kettle,13
set a timer for the electric kettle,13
activate the heater,2
configure the coffee maker,8
switch off the light,1
turn on the coffee maker,8
connect the heater,2
configure the pump,14
configure the speaker,10
change the microwave,9
change the refrigerator,7
deactivate the air conditioner,3
switch off the oven,5
link the speaker,10
assign the air conditioner,3
deactivate the light,1
assign the air conditioner,3
turn on the robot vacuum,11
turn on the electric kettle,13
adjust the pump,14
link the coffee maker,8
switch on the washing machine,6
deactivate the refrigerator,7
switch off the pump,14
assign the oven,5
map the electric kettle,13
turn on the heater,2
switch on the washing machine,6
change the humidifier,12
change the electric kettle,13
adjust the refrigerator,7
adjust the coffee maker,8
schedule the microwave,9
turn on the light,1
turn off the coffee maker,8
set the humidifier,12
connect the coffee maker,8
assign the television,4
set a timer for the television,4
turn on the refrigerator,7
configure the electric kettle,13
connect the light,1
turn off the pump,14
turn off the microwave,9
switch off the light,1
set a timer for the air conditioner,3
switch off the air conditioner,3
activate the washing machine,6
turn off the robot vacuum,11
switch off the washing machine,6
set the heater,2
map the electric kettle,13
deactivate the pump,14
connect the humidifier,12
configure the oven,5
deactivate the microwave,9
switch off the robot vacuum,11
turn on the microwave,9
adjust the robot vacuum,11
switch off the light,1
map the coffee maker,8
switch on the coffee maker,8
configure the robot vacuum,11
turn on the coffee maker,8
turn off the speaker,10
switch off the heater,2
deactivate the pump,14
adjust the microwave,9
set the oven,5
change the television,4
adjust the pump,14
change the air conditioner,3
configure the heater,2
turn on the television,4
assign the microwave,9
switch on the coffee maker,8
assign the coffee maker,8
turn off the humidifier,12
set the coffee maker,8
activate the light,1
turn on the heater,2
turn off the light,1
adjust the robot vacuum,11
change the oven,5
assign the microwave,9
set the light,1
switch on the washing machine,6
link the light,1
adjust the coffee maker,8
map the humidifier,12
set the air conditioner,3
turn off the refrigerator,7
adjust the light,1
configure the fan,0
set a timer for the washing machine,6
set the light,1
link the air conditioner,3
configure the refrigerator,7
activate the humidifier,12
map the pump,14
connect the fan,0
turn on the pump,14
deactivate the coffee maker,8
adjust the television,4
deactivate the refrigerator,7
switch off the microwave,9
map the refrigerator,7
switch on the electric kettle,13
change the humidifier,12
turn on the fan,0
configure the pump,14
link the television,4
link the television,4
set a timer for the oven,5
change the microwave,9
turn off the refrigerator,7
change the fan,0
set the humidifier,12
deactivate the fan,0
switch on the electric kettle,13
schedule the air conditioner,3
link the oven,5
turn on the electric kettle,13
assign the heater,2
adjust the speaker,10
turn on the light,1
configure the humidifier,12
configure the robot vacuum,11
configure the speaker,10
set a timer for the heater,2
change the light,1
schedule the air conditioner,3
set the coffee maker,8
adjust the pump,14
adjust the television,4
link the humidifier,12
turn on the fan,0
map the washing machine,6
schedule the light,1
link the robot vacuum,11
deactivate the robot vacuum,11
adjust the television,4
turn off the oven,5
switch off the light,1
change the humidifier,12
change the air conditioner,3
activate the heater,2
deactivate the microwave,9
switch off the refrigerator,7
configure the speaker,10
set the electric kettle,13
link the heater,2
link the fan,0
schedule the refrigerator,7
switch off the robot vacuum,11
adjust the air conditioner,3
turn off the coffee maker,8
change the humidifier,12
change the robot vacuum,11
map the oven,5
configure the television,4
link the fan,0
change the oven,5
assign the refrigerator,7
turn off the electric kettle,13
link the air conditioner,3
turn off the speaker,10
configure the heater,2
deactivate the heater,2
map the heater,2
link the microwave,9
adjust the heater,2
change the fan,0
switch off the coffee maker,8
set a timer for the humidifier,12
turn on the humidifier,12
set a timer for the electric kettle,13
connect the humidifier,12
set a timer for the refrigerator,7
activate the microwave,9
map the humidifier,12
configure the refrigerator,7
link the washing machine,6
link the oven,5
configure the fan,0
link the washing machine,6
link the coffee maker,8
switch off the washing machine,6
assign the light,1
link the fan,0
map the microwave,9
set the television,4
turn on the light,1
turn off the coffee maker,8
turn off the fan,0
schedule the coffee maker,8
configure the light,1
turn off the humidifier,12
switch on the robot vacuum,11
switch off the washing machine,6
connect the robot vacuum,11
set the coffee maker,8
link the television,4
activate the microwave,9
map the air conditioner,3
switch off the humidifier,12
configure the oven,5
deactivate the air conditioner,3
turn on the air conditioner,3
configure the television,4
activate the microwave,9
deactivate the heater,2
activate the heater,2
deactivate the speaker,10
deactivate the heater,2
map the oven,5
set a timer for the electric kettle,13
configure the oven,5
turn on the washing machine,6
connect the oven,5
turn off the coffee maker,8
map the television,4
deactivate the microwave,9
turn on the pump,14
deactivate the speaker,10
switch on the television,4
turn off the air conditioner,3
link the refrigerator,7
set the robot vacuum,11
set the humidifier,12
configure the washing machine,6
change the fan,0
schedule the pump,14
schedule the washing machine,6
activate the light,1
change the oven,5
set a timer for the fan,0
turn off the fan,0
turn on the refrigerator,7
configure the robot vacuum,11
link the refrigerator,7
set a timer for the oven,5
deactivate the coffee maker,8
change the pump,14
activate the pump,14
set a timer for the washing machine,6
link the humidifier,12
set a timer for the robot vacuum,11
switch on the light,1
set a timer for the light,1
set a timer for the heater,2
turn on the robot vacuum,11
switch off the refrigerator,7
deactivate the microwave,9
set the heater,2
adjust the light,1
turn off the heater,2
assign the light,1
set the speaker,10
connect the speaker,10
schedule the fan,0
deactivate the oven,5
set the electric kettle,13
link the heater,2
switch off the heater,2
connect the oven,5
activate the television,4
link the speaker,10
set the microwave,9
map the oven,5
turn off the robot vacuum,11
deactivate the electric kettle,13
turn off the speaker,10
configure the air conditioner,3
map the humidifier,12
turn on the washing machine,6
adjust the robot vacuum,11
turn on the washing machine,6
schedule the washing machine,6
switch on the speaker,10
connect the robot vacuum,11
switch off the coffee maker,8
schedule the television,4
schedule the oven,5
set the microwave,9
set the washing machine,6
turn on the pump,14
switch on the washing machine,6
set the light,1
turn off the television,4
schedule the air conditioner,3
change the air conditioner,3
map the coffee maker,8
turn on the television,4
set the coffee maker,8
configure the pump,14
adjust the washing machine,6
schedule the fan,0
link the pump,14
turn off the pump,14
activate the refrigerator,7
switch on the washing machine,6
link the coffee maker,8
set the air conditioner,3
schedule the speaker,10
connect the pump,14
connect the air conditioner,3
activate the robot vacuum,11
deactivate the microwave,9
turn off the television,4
switch on the humidifier,12
schedule the heater,2
activate the microwave,9
activate the oven,5
configure the fan,0
map the fan,0
activate the speaker,10
adjust the light,1
activate the coffee maker,8
set a timer for the washing machine,6
adjust the refrigerator,7
deactivate the speaker,10
link the microwave,9
switch on the light,1
connect the air conditioner,3
switch on the light,1
set a timer for the light,1
set a timer for the coffee maker,8
turn off the pump,14
change the light,1
switch on the coffee maker,8
switch off the fan,0
map the robot vacuum,11
change the pump,14
connect the pump,14
switch off the television,4
deactivate the pump,14
change the refrigerator,7
assign the refrigerator,7
map the coffee maker,8
turn on the television,4
set a timer for the light,1
map the electric kettle,13
connect the fan,0
configure the washing machine,6
set the light,1
turn on the air conditioner,3
switch on the electric kettle,13
set a timer for the microwave,9
deactivate the light,1
activate the microwave,9
adjust the microwave,9
turn on the oven,5
switch off the humidifier,12
turn off the heater,2
turn off the coffee maker,8
adjust the humidifier,12
switch on the heater,2
map the light,1
adjust the coffee maker,8
link the microwave,9
turn on the light,1
link the oven,5
set the pump,14
adjust the coffee maker,8
switch on the air conditioner,3
schedule the heater,2
change the coffee maker,8
set the washing machine,6
turn off the air conditioner,3
connect the electric kettle,13
activate the oven,5
turn on the pump,14
deactivate the heater,2
assign the light,1
schedule the refrigerator,7
switch off the microwave,9
schedule the humidifier,12
link the microwave,9
set the coffee maker,8
switch on the robot vacuum,11
switch on the oven,5
activate the refrigerator,7
deactivate the speaker,10
map the heater,2
turn off the electric kettle,13
set a timer for the oven,5
map the robot vacuum,11
switch off the robot vacuum,11
connect the washing machine,6
switch off the coffee maker,8
activate the television,4
adjust the fan,0
change the pump,14
switch on the washing machine,6
connect the refrigerator,7
activate the television,4
activate the electric kettle,13
set the electric kettle,13
schedule the microwave,9
switch off the air conditioner,3
connect the refrigerator,7
link the television,4
link the robot vacuum,11
schedule the robot vacuum,11
deactivate the light,1
switch on the microwave,9
assign the refrigerator,7
adjust the fan,0
adjust the speaker,10
assign the oven,5
turn off the washing machine,6
connect the coffee maker,8
connect the speaker,10
assign the refrigerator,7
set the pump,14
schedule the pump,14
deactivate the oven,5
turn off the washing machine,6
turn off the air conditioner,3
assign the microwave,9
turn on the fan,0
link the humidifier,12
turn off the pump,14
change the oven,5
switch on the refrigerator,7
configure the electric kettle,13
assign the humidifier,12
link the light,1
set a timer for the robot vacuum,11
set the microwave,9
set the oven,5
switch off the refrigerator,7
set the microwave,9
switch off the refrigerator,7
set a timer for the fan,0
link the electric kettle,13
switch on the humidifier,12
turn on the light,1
set a timer for the heater,2
turn off the microwave,9
deactivate the humidifier,12
